Devices
1000
,,Force Plate 1 - Force,,,Force Plate 1 - Moment,,,Force Plate 1 - CoP,,,Force Plate 2 - Force,,,Force Plate 2 - Moment,,,Force Plate 2 - CoP,,,Force Plate 3 - Force,,,Force Plate 3 - Moment,,,Force Plate 3 - CoP,,,Force Plate 4 - Force,,,Force Plate 4 - Moment,,,Force Plate 4 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-6.45844,-5.53828,-31.1702,-2023.53,-9859.32,2295.44,-16.306,-140.081,0,-4.66458,8.52226,-30.4313,-156.683,-8490.14,-2220.05,21.0061,205.149,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
1,1,-6.5326,-5.44616,-30.7711,-2006.72,-9943,2298.71,-23.1282,-139.785,0,-4.50531,8.42147,-30.8309,-187.596,-8563.85,-2212.6,22.2318,206.085,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
1,2,-6.6385,-5.47144,-31.1267,-2010.6,-9924.41,2280.45,-18.8392,-140.406,0,-4.63332,8.39158,-30.7931,-234.817,-8561.6,-2197.58,21.9637,207.626,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
1,3,-6.53346,-5.43665,-31.4118,-2032.43,-9871.43,2300.01,-14.2588,-140.297,0,-4.79991,8.4733,-30.5217,-205.573,-8516.92,-2225.21,20.9556,206.735,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
1,4,-6.29513,-5.47097,-30.9399,-2052.53,-9871.59,2289.11,-19.0565,-138.661,0,-4.69758,8.54796,-30.2565,-141.409,-8490.04,-2225.93,19.3975,204.674,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
1,5,-6.40193,-5.54759,-31.001,-2025.81,-9819.19,2256.1,-16.7383,-139.653,0,-4.53799,8.52669,-30.2097,-173.25,-8427.87,-2206.55,21.0212,205.735,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
1,6,-6.65332,-5.51436,-31.2778,-1999,-9860.16,2282.99,-15.2447,-141.089,0,-4.53491,8.4364,-30.5036,-216.313,-8416.56,-2237.29,24.0795,207.091,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
1,7,-6.64092,-5.48016,-31.0486,-1996.25,-9933.9,2285.24,-19.9462,-140.706,0,-4.63055,8.39305,-30.3245,-188.071,-8487.06,-2252.72,20.1252,206.202,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
1,8,-6.5161,-5.50531,-30.9207,-2001.11,-9864.69,2289.23,-19.0317,-140.283,0,-4.62187,8.45551,-30.4167,-176.354,-8514.4,-2225.29,20.0746,205.798,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
1,9,-6.50101,-5.54581,-30.9729,-1989.84,-9944.88,2330.75,-21.0833,-140.755,0,-4.56652,8.54547,-31.0593,-206.147,-8537.29,-2230.69,25.1299,206.637,0,0,-0,0,0,0,0,-305,200,0,0,-0,0,0,-0,0,-305,-205,0
2,0,-6.60843,-5.46365,-30.8826,-1968.5,-10061.7,2307.91,-25.8052,-141.259,0,-4.58111,8.5298,-31.0006,-200.667,-8565.3,-2252.1,23.7051,206.473,0,0,-0,0,0,-0,0,-305,200,0,0,-0,0,0,0,0,-305,-205,0
